name,stars,time
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994-09-14(法国)
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993-07-01(中国香港)
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国)
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17(美国)
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
霸王别姬,"张国荣,张丰毅,巩俐",1993-07-26
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大)
罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-09-02(美国)
这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994-09-14(法国)
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993-07-01(中国香港)
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国)
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17(美国)
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993-07-01(中国香港)
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国)
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17(美国)
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06(美国)
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国)
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17(美国)
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06(美国)
黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000-01-14
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17(美国)
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06(美国)
黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000-01-14
哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06(美国)
黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000-01-14
哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15
天空之城,"寺田农,鹫尾真知子,龟山助清",1992-05-01
大闹天宫,"邱岳峰,毕克,富润生",1965-12-31
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国)
喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港)
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06(美国)
黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000-01-14
哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15
加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003-11-21
